Id,CNPJ,CPF,Nome,Ativo,Recadastrado,Município,UF,Natureza Jurídica,Porte da Empresa,Ramo do Negócio,Unidade Cadastradora,CNAE,CNAE Secundário,Habilitado a Licitar
1,00.000.000/0001-91,,BANCO DO BRASIL SA,Sim,,97012: BRASÍLIA,DF,9: SOCIEDADE DE ECONOMIA MISTA,2: null,,,"6422100: BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",,Sim
6,00.000.166/0001-08,,IRMAOS RODOPOULOS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4110700: INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS,,Sim
8,00.000.208/0001-00,,BRB BANCO DE BRASILIA SA,Sim,,97012: BRASÍLIA,DF,9: SOCIEDADE DE ECONOMIA MISTA,2: null,,,"6422100: BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL",,Sim
12,00.000.424/0003-18,,DEBRITO PROPAGANDA LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,7311400: AGÊNCIAS DE PUBLICIDADE,,Sim
23,00.001.172/0001-80,,SA CORREIO BRAZILIENSE,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,5822101: EDIÇÃO INTEGRADA À IMPRESSÃO DE JORNAIS DIÁRIOS,,Sim
29,00.001.388/0001-45,,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4530703: COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES,,Sim
30,00.001.388/0002-26,,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,Sim,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,4731800: COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA VEÍCULOS AUTOMOTORES,,Sim
32,00.001.388/0005-79,,DISTRIBUIDORA BRASILIA DE VEICULOS S/A,Não,,97012: BRASÍLIA,DF,48: SOCIEDADE ANÔNIMA FECHADA,2: null,,,"4511101: COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS NOVOS",,Sim
33,00.001.453/0001-32,,CINE FOTO GB LTDA,Não,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4789008: COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFICOS E PARA FILMAGEM,,Sim
38,00.001.891/0001-09,,CASA PLANETA DE BRASILIA MAQUINAS E FERRAGENS LTDA,Sim,,97012: BRASÍLIA,DF,2: SOCIEDADE EMPRESÁRIA LIMITADA,2: null,,,4744099: COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL,,Sim
